name,city,year_founded
USC,Los Angeles,1880
Oklahoma State,Stillwater,1890
Michigan,Ann Arbor,1817
UConn,Storrs,1881
Baylor,Waco,1-02-1845
Texas,Austin,15-09-1883
Utah State University,Logan,1888
VCU,Richmond,1838
Duke,Durham,1838
Florida State,Tallahassee,1851
West Virginia,Morgantown,1867
Pepperdine,Malibu,1937
Maryland,College Park,1856
Florida,Gainesville,1853
Arizona State,Tempe,1885
Houston,Houston,1927
Iowa,Iowa City,1847
LSU,Baton Rouge,1860
UNC,Chapel Hill,1789
Alabama,Tuscaloosa,1820
Tennessee,Knoxville,1794
Illinois,Champaign,1867
Villanova,Villanova,1842
Kentucky,Lexington,1865
Seton Hall,Greensburg,1885
Stanford,Stanford,1885
Gonzaga,Spokane,1887
Arkansas,Fayetteville,1871
Auburn,Auburn,1856
Loyola (MD),Baltimore,1852
Ohio University,Athens,1804
Virginia,Charlottesville,1819
Louisville,Louisville,1798
Nebraska,Lincoln,1869
Oregon,Eugene,1876
Western Kentucky,Bowling Green,1906
Creighton,Omaha,1878